trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-110.9574733875836,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-183.74385456378215,"{0: 14, 1: 0, 2: 6, 3: 3, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-153.32536564661382,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-184.80686037642184,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-10.217762044067827,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-126.53734801826481,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-164.40695759574575,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,0,-205.1330195247272,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-125.16962746578956,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-273.3257580286143,"{0: 9, 1: 2, 2: 7, 3: 4, 4: 3}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-247.3357835598225,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 5}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-122.79339695235188,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-50.92235878358877,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-135.11101674289918,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",30,18,-32.25076361685212,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-77.05151507977462,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,0,-160.41335307114807,"{0: 13, 1: 0, 2: 9, 3: 2, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",30,3,-44.955834545114996,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 0}",1
